stem,image_url
"Find the smallest number that leaves a remainder of 4 on division by 5, 5 on division by 6, 6 on division by 7, 7 on division by 8 and 8 on division by 9?",""
"How many pairs of positive integers x, y exist such that HCF of x, y = 35 and sum of x and y = 1085?",""
"How many pairs of positive integers x, y exist such that HCF (x, y) + LCM (x, y) = 91?",""
"Sum of two numbers x, y = 1050. What is the maximum value of the HCF between x and y?",""
"The sum of two non co–prime numbers added to their HCF gives us 91. How many such pairs are possible?",""
"There are 2 numbers such that a > b, HCF (a, b) = h and LCM (a, b) = l. What is the LCM of a – b and b?",""
"6 different sweet varieties of count 32, 216, 136, 88, 184, 120 were ordered for a particular occasion. They need to be packed in such a way that each box has the same variety of sweet and the number of sweets in each box is also the same. What is the minimum number of boxes required to pack?",""
"In a large school auditorium, the students are made to sit to watch the programmes. If the teachers make a row of students of 16 each, there will be 12 students left. If they make rows of 24 each, then there will be 20 students left, if they make rows of 25 each, there will be 21 students left and if they make rows of 30 each, there will be 26 students left. What is the minimum number of students present in the school?",""
"LCM of 2 natural numbers p and q where p > q is 935. What is the maximum possible sum of the digits of q?",""
"4 logs of woods of lengths 5 1/4 m, 1 13/15 m, 3 1/2 m and 4 9/10 m are cut into small pieces, all of which have equal length. Each piece of wood is as lengthy as possible. Each cut piece is given to a set of 2 carpenters to work on something. How many carpenters are there in all to work?",""
"Find the HCF of 2/3,4/6,8/27",""
"The sum of the factors of a number is 124. What is the number?",""
"How many factors of 1080 are perfect squares?",""
"How many factors of 2^5 * 3^6 * 5^2 are perfect squares?",""
"How many factors of 2^4 * 5^3 * 7^4 are odd numbers?",""
"How many factors of the number 2^8*3^6*5^4*10^5 are multiples of 120?",""
"Number N = 2^6*5^5*7^6*10^7; how many factors of N are even numbers?",""
"Numbers A, B, C and D have 16, 28, 30 and 27 factors. Which of these could be a perfect cube?",""
"If a three digit number 'abc' has 3 factors, how many factors does the 6-digit number 'abcabc' have?",""
"How many numbers are there less than 100 that cannot be written as a multiple of a perfect square greater than 1?",""
"Find the smallest number that has exactly 18 factors.",""
"A number N^2 has 15 factors. How many factors can N have?",""
"If a three digit number 'abc' has 2 factors (where a, b, c are digits), how many factors does the 6-digit number 'abcabc' have?",""
"What is the smallest number that has exactly 12 factors?",""
"The sum of the first two natural numbers, each having 15 factors (including 1 and the number itself), is",""
"The number of positive integers less than 50, having exactly two distinct factors other than 1 and itself, is",""
"Let n be the least positive integer such that 168 is a factor of 1134^n. If m is the least positive integer such that 1134^n is a factor of 168^m, then m+n equals",""
"If c=frac(16 x)(y)+frac(49 y)(x) for some non-zero real numbers x and y, then c cannot take the value",""
"How many of the integers 1, 2, … , 120, are divisible by none of 2, 5 and 7?",""
"How many factors of 2^4 × 3^5 × 10^4 are perfect squares which are greater than 1?",""
"How many pairs (m,n) of positive integers satisfy the equation the equation m^2 + 105 = n^2?",""
"If N and x are positive integers such that N^N = 2^160 and N^2 + 2^N is an integral multiple of 2^x, then the largest possible x is",""
"The number of integers x such that 0.25 < 2^x < 200, and 2^x + 2 is perfectly divisible by either 3 or 4, is",""
"The sum of the digits of a number N is 23. The remainder when N is divided by 11 is 7. What is the remainder when N is divided by 33?",""
"What is the remainder when (13^100 + 17^100) is divided by 25?",""
