table_name,difficulty_band,difficulty_score,count
pyq_questions,Easy,1.5,1
pyq_questions,Easy,2.0,6
pyq_questions,Medium,2.25,145
pyq_questions,Medium,2.5,51
pyq_questions,Hard,2.75,15
pyq_questions,Hard,3.0,10
pyq_questions,Hard,3.25,4
pyq_questions,Hard,3.75,1
pyq_questions,Hard,4.0,3
questions,Easy,1.75,2
questions,Easy,2.0,28
questions,Medium,2.25,166
questions,Medium,2.5,180
questions,Hard,2.75,51
questions,Hard,3.0,20
questions,Hard,3.25,2
questions,Hard,3.75,1
questions,Hard,4.25,2
