id,subcategory,type_of_question,category,difficulty_score,difficulty_band,concept_difficulty,operations_required,problem_structure,solution_method,core_concepts,concept_extraction_status,quality_verified,created_at
a1ab89fd-4648-49b7-81ae-390e1f800df9,Averages and Alligation,Basic Averages,Arithmetic,1.50,Easy,"{""prerequisites"": [""basic division"", ""understanding of weight constraints""], ""cognitive_barriers"": [""interpreting integer constraints""], ""mastery_indicators"": [""correctly applying division to find maximum count""]}","[""division"", ""floor function""]",optimization under constraints,Divide the total weight limit by the minimum weight to maximize the number of people.,"[""weight limit"", ""division"", ""integer constraint""]",completed,True,2025-09-08 15:01:22.187590
7218d536-f45d-4d36-a1b9-6fd43fb92d8d,Averages and Alligation,Basic Averages,Arithmetic,1.50,Easy,"{""prerequisites"": [""understanding of averages"", ""basic arithmetic operations""], ""cognitive_barriers"": [""none""], ""mastery_indicators"": [""ability to apply average formula"", ""ability to maximize under constraints""]}","[""multiplication"", ""addition"", ""division""]",optimization under constraints,"To maximize the average of a subset, maximize the sum of that subset while respecting given constraints.","[""average"", ""sum of integers"", ""maximization""]",completed,True,2025-09-08 15:01:22.187956
9a67d810-44e6-4a73-85f0-af32c81ca593,Percentages,Basics,Arithmetic,1.50,Easy,"{""prerequisites"": [""basic percentage knowledge"", ""understanding of ratios""], ""cognitive_barriers"": [""none""], ""mastery_indicators"": [""correct application of percentage formulas""]}","[""multiplication"", ""subtraction"", ""division""]",linear percentage problem,algebraic manipulation and percentage calculation,"[""percentage calculation"", ""ratio and proportion""]",completed,True,2025-09-08 15:01:22.187568
2f8a0888-6051-4e59-8528-348d97ddc41e,Ratios and Proportions,Simple Rations,Arithmetic,1.50,Easy,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""interpreting age changes over time""], ""mastery_indicators"": [""ability to set up and solve ratio equations""]}","[""algebraic manipulation"", ""ratio calculation""]",linear relationship between ages,Set up equations based on given ratios and solve for the new ratio.,"[""ratios"", ""age problems"", ""proportional reasoning""]",completed,True,2025-09-08 15:01:22.188545
24c58652-7e71-4ffb-b6ab-1c6491f66a19,Averages and Alligation,Alligations & Mixtures,Arithmetic,2.50,Medium,"{""prerequisites"": [""basic algebra"", ""understanding of ratios""], ""cognitive_barriers"": [""setting up inequalities"", ""interpreting constraints""], ""mastery_indicators"": [""correctly formulating and solving inequalities""]}","[""division"", ""subtraction"", ""inequality solving""]",inequality constraint with algebraic manipulation,algebraic manipulation and inequality analysis,"[""division of money"", ""ratios"", ""inequality constraints""]",completed,True,2025-09-08 15:01:22.188419
fd676b5a-af3f-4c62-be14-c6fe3e957767,Averages and Alligation,Basic Averages,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of permutations"", ""Basic arithmetic operations""], ""cognitive_barriers"": [""Identifying distinct permutations"", ""Summing large numbers""], ""mastery_indicators"": [""Ability to compute permutations"", ""Correct calculation of mean""]}","[""Permutation calculation"", ""Summation"", ""Division""]",Permutation and average calculation,"Calculate all distinct permutations, sum them, and divide by the number of permutations.","[""Permutation"", ""Arithmetic Mean"", ""Distinct Numbers""]",completed,True,2025-09-08 15:01:22.188328
bf70b8e8-0b4c-4e16-aac5-34acd6976e7a,Averages and Alligation,Basic Averages,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of averages"", ""properties of odd and even numbers""], ""cognitive_barriers"": [""recognizing integer constraints"", ""manipulating algebraic expressions""], ""mastery_indicators"": [""correctly identifying integer solutions"", ""applying average formula""]}","[""addition"", ""division"", ""algebraic manipulation""]",integer constraint analysis,algebraic manipulation and integer properties,"[""average"", ""integer properties"", ""odd and even numbers""]",completed,True,2025-09-08 15:01:22.188351
0a2b4cee-84e7-47b9-97bc-2fb63c34a73e,Averages and Alligation,Basic Averages,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of averages"", ""basic arithmetic operations""], ""cognitive_barriers"": [""adjusting income based on expenses and savings""], ""mastery_indicators"": [""ability to manipulate average savings formula""]}","[""addition"", ""subtraction"", ""multiplication"", ""division""]",multi-step arithmetic problem involving averages and adjustments,"Calculate total savings needed, determine savings achieved in first nine months, compute required savings for remaining months, and adjust income accordingly.","[""average savings"", ""monthly expenses"", ""income adjustment""]",completed,True,2025-09-08 15:01:22.188302
535236d4-7448-4876-86fc-0401bab97f08,Averages and Alligation,Basic Averages,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of averages"", ""basic algebra""], ""cognitive_barriers"": [""translating word problem into equations""], ""mastery_indicators"": [""correctly setting up and solving equations""]}","[""algebraic manipulation"", ""subtraction"", ""division""]",linear equation setup and manipulation,Set up equations based on average formulas and solve for the smallest score.,"[""average"", ""sum of scores"", ""algebraic manipulation""]",completed,True,2025-09-08 15:01:22.188120
ecc36161-8ed3-4e3f-ba9d-1eb88b05693d,Averages and Alligation,Basic Averages,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of averages"", ""basic algebra""], ""cognitive_barriers"": [""translating word problem into equations""], ""mastery_indicators"": [""ability to solve linear equations""]}","[""algebraic manipulation"", ""arithmetic operations""]",linear equation setup and solving,Set up equations based on given relationships and solve for unknowns,"[""average"", ""linear equations"", ""age problems""]",completed,True,2025-09-08 15:01:22.188094
