id,subcategory,type_of_question,category,difficulty_score,difficulty_band,concept_difficulty,operations_required,problem_structure,solution_method,core_concepts,concept_extraction_status,quality_verified,created_at
50461a6f-7fb1-42e7-84de-e32bac88f0dc,Circles,Angles in a Circle,Geometry and Mensuration,2.00,Easy,"{""prerequisites"": [""basic combinatorics"", ""understanding of circle geometry""], ""cognitive_barriers"": [""visualizing geometric configurations""], ""mastery_indicators"": [""correct application of combination formula""]}","[""combination calculation""]",combinatorial geometry,combinatorial selection,"[""combinatorics"", ""geometry"", ""circle properties""]",completed,True,2025-09-08 15:01:22.187607
51271504-4d0b-4dae-87bc-12f877e39f23,Simple and Compound Interest,Basics,Arithmetic,2.00,Easy,"{""prerequisites"": [""Understanding of simple interest formula"", ""Basic algebraic manipulation""], ""cognitive_barriers"": [""Setting up correct equations"", ""Interpreting ratio conditions""], ""mastery_indicators"": [""Correctly solving for time period"", ""Accurate use of ratio""]}","[""Algebraic manipulation"", ""Ratio calculation""]",Two-stage investment with ratio condition,Set up equations based on simple interest formula and solve for unknowns using given ratio.,"[""Simple Interest"", ""Ratio and Proportion""]",completed,True,2025-09-08 15:01:22.188487
088dc260-0a8d-42fd-8a39-8f1d179e8d63,Time-Speed-Distance,Basics,Arithmetic,2.00,Easy,"{""prerequisites"": [""Understanding of speed, distance, and time relationship""], ""cognitive_barriers"": [""Tracking multiple moving objects with different start times""], ""mastery_indicators"": [""Ability to calculate time and distance for segmented journeys""]}","[""Division"", ""Subtraction""]",Sequential time and distance calculation,Calculate the time taken by each car for each segment and determine the position of Car 2 when Car 1 reaches the destination.,"[""Time-Speed-Distance"", ""Relative Motion""]",completed,True,2025-09-08 15:01:22.187868
bcede70d-266e-4cc6-960a-71682c2afd11,Time-Speed-Distance,Basics,Arithmetic,2.00,Easy,"{""prerequisites"": [""understanding of speed, time, and distance"", ""basic algebra""], ""cognitive_barriers"": [""concept of relative speed"", ""setting up equations based on problem statement""], ""mastery_indicators"": [""ability to solve time-speed-distance problems"", ""correctly applying relative speed concepts""]}","[""multiplication"", ""division""]",linear equation setup based on time-speed-distance,"Using the relationship between speed, time, and distance to find the total distance.","[""relative speed"", ""time-speed-distance relationship""]",completed,True,2025-09-08 15:01:22.188377
28eae103-89a7-4cfb-ae18-fbd8890f90ad,Time-Speed-Distance,Relative Speed,Arithmetic,2.00,Easy,"{""prerequisites"": [""understanding of speed, distance, and time relationship""], ""cognitive_barriers"": [""conceptualizing relative motion""], ""mastery_indicators"": [""ability to solve basic time-speed-distance problems""]}","[""multiplication"", ""division""]",two-object relative motion,equating distances covered after meeting point,"[""relative speed"", ""time-speed-distance relationship""]",completed,True,2025-09-08 15:01:22.188043
153d2286-4518-49e0-94df-18c9653a7d98,Time-Speed-Distance,Relative Speed,Arithmetic,2.00,Easy,"{""prerequisites"": [""understanding of relative speed"", ""basic algebra""], ""cognitive_barriers"": [""conceptualizing relative motion""], ""mastery_indicators"": [""ability to set up equations for relative motion""]}","[""algebraic manipulation"", ""equation solving""]",two-object relative motion,equating distances using relative speed,"[""relative speed"", ""time-speed-distance relationship""]",completed,True,2025-09-08 15:01:22.188356
67b95328-02da-4a78-9a4b-cc9628030bd4,Averages and Alligation,Basic Averages,Arithmetic,2.75,Hard,"{""prerequisites"": [""understanding of averages"", ""basic algebra""], ""cognitive_barriers"": [""setting up equations"", ""solving simultaneous equations""], ""mastery_indicators"": [""ability to manipulate equations"", ""understanding average impact""]}","[""addition"", ""subtraction"", ""multiplication"", ""division""]",linear equation setup and solving,algebraic manipulation and equation solving,"[""average"", ""equations"", ""algebraic manipulation""]",completed,True,2025-09-08 15:01:22.187764
2a83d7d2-c631-495d-a3dc-ca4a95dac849,Circles,Angles in a Circle,Geometry and Mensuration,2.75,Hard,"{""prerequisites"": [""understanding of clock angles"", ""basic arithmetic""], ""cognitive_barriers"": [""visualizing clock hand movement"", ""calculating relative speed""], ""mastery_indicators"": [""accurate angle calculation"", ""correct time determination""]}","[""angle calculation"", ""relative speed determination""]",clock angle problem,"Calculate initial angle, determine target angle, solve for time using relative speed of clock hands.","[""clock angles"", ""relative speed"", ""angle calculation""]",completed,True,2025-09-08 15:01:22.188395
060063cd-58fd-4ada-a92b-5ff668222be2,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,2.75,Hard,"{""prerequisites"": [""Understanding of volume formulas"", ""Basic geometry""], ""cognitive_barriers"": [""Visualizing 3D objects"", ""Combining different geometric shapes""], ""mastery_indicators"": [""Correct application of volume formula"", ""Accurate height calculation""]}","[""Volume calculation"", ""Addition""]",Combination of 3D shapes,"Calculate the radius of the cylinder using its volume, then determine the total height by adding the cylinder's height and the ball's radius.","[""Volume of Cylinder"", ""Sphere Geometry"", ""Vertical Distance Calculation""]",completed,True,2025-09-08 15:01:22.187621
3a342556-0016-4b40-84b4-cdd5fb619ae0,Mixtures and Solutions,Replacements,Arithmetic,2.75,Hard,"{""prerequisites"": [""understanding of percentages"", ""basic arithmetic operations""], ""cognitive_barriers"": [""tracking changes in composition"", ""iterative calculations""], ""mastery_indicators"": [""correctly applying replacement formula"", ""accurate percentage computation""]}","[""percentage calculation"", ""subtraction"", ""addition"", ""multiplication""]",iterative process with percentage adjustments,Iterative replacement calculation,"[""mixture replacement"", ""percentage calculation"", ""volume conservation""]",completed,True,2025-09-08 15:01:22.187802
