id,subcategory,type_of_question,category,difficulty_score,difficulty_band,pyq_frequency_score,concept_difficulty,operations_required,problem_structure,solution_method,core_concepts,answer_match,concept_extraction_status,quality_verified,created_at
4f1f0fd8-ea60-448e-813e-caa5dedab17c,Ratios and Proportions,Simple Rations,Arithmetic,1.75,Easy,0.5000,"{""prerequisites"": [""Understanding of basic subtraction""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to perform simple arithmetic operations""]}","[""Subtraction""]",Simple linear arithmetic,Direct subtraction,"[""Subtraction"", ""Distance Calculation""]",True,completed,True,2025-09-11 18:00:22.800578
5755281e-49db-4df4-aa74-8edc298cb846,Averages and Alligation,Basic Averages,Arithmetic,2.00,Easy,0.5000,"{""prerequisites"": [""Basic Division"", ""Understanding of Units""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to perform simple division and unit conversion""]}","[""Division""]",Single-step calculation,Divide the total weight capacity by the weight of one apple to find the number of apples.,"[""Division"", ""Unit Conversion"", ""Weight Calculation""]",True,completed,True,2025-09-11 18:00:12.463521
1368382e-2412-4f6b-9465-ddae179a3a82,Averages and Alligation,Weighted Averages,Arithmetic,2.00,Easy,0.5000,"{""prerequisites"": [""basic division"", ""understanding of weight and capacity""], ""cognitive_barriers"": [""conceptualizing optimization""], ""mastery_indicators"": [""ability to apply division to real-world scenarios""]}","[""division""]",linear optimization,Optimization by maximizing the number of items using the lightest weight,"[""division"", ""optimization"", ""weight capacity""]",True,completed,True,2025-09-11 17:55:26.493200
5d846030-ac19-4023-97d1-2e400446158e,Mensuration 2D,Area Triangle,Geometry and Mensuration,2.00,Easy,0.5000,"{""prerequisites"": [""Understanding of area formula for triangles""], ""cognitive_barriers"": [""Basic algebraic manipulation""], ""mastery_indicators"": [""Ability to rearrange and solve simple equations""]}","[""Multiplication"", ""Division""]",Direct Application,Algebraic Manipulation,"[""Area of Triangle"", ""Basic Algebra""]",True,completed,True,2025-09-11 18:01:37.334727
1fdcb9e2-ecd5-444f-81d5-790bc276e64b,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,2.00,Easy,0.5000,"{""prerequisites"": [""understanding of basic geometry"", ""knowledge of solid figures""], ""cognitive_barriers"": [""visualizing 3D objects""], ""mastery_indicators"": [""ability to calculate distances in 3D space""]}","[""addition""]",linear combination,geometric reasoning,"[""geometry"", ""solid figures"", ""distance calculation""]",True,completed,True,2025-09-11 17:51:01.097143
90aa88dd-3059-4199-b4b0-265fb2d8ed58,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,2.00,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes"", ""Addition""], ""cognitive_barriers"": [""Visualizing 3D objects""], ""mastery_indicators"": [""Correctly calculating combined heights""]}","[""Addition""]",Simple additive structure,Additive reasoning,"[""Cylinder"", ""Sphere"", ""Distance""]",True,completed,True,2025-09-11 17:46:34.522940
ef25d971-6619-4b78-90d1-ae62e4550c3d,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,2.00,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes""], ""cognitive_barriers"": [""Visualizing 3D objects""], ""mastery_indicators"": [""Ability to sum linear dimensions""]}","[""addition""]",Linear combination,Summation of linear dimensions,"[""radius"", ""height"", ""distance""]",True,completed,True,2025-09-11 17:55:29.906189
eedfb42f-766e-4503-a2ae-1e93d8a1657e,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,2.00,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes"", ""Addition""], ""cognitive_barriers"": [""Visualizing 3D objects""], ""mastery_indicators"": [""Correctly calculating combined heights""]}","[""Addition""]",Simple additive structure,Additive Reasoning,"[""Cylinder"", ""Sphere"", ""Height Calculation""]",True,completed,True,2025-09-11 18:00:14.761459
6f8d9716-8b5b-4218-a087-bde97fe37a2c,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,2.00,Easy,0.5000,"{""prerequisites"": [""Basic Geometry"", ""Understanding of \u03c0""], ""cognitive_barriers"": [""Formula Memorization""], ""mastery_indicators"": [""Correct Formula Application""]}","[""Multiplication"", ""Division""]",Single-step Calculation,Direct Application of Formula,"[""Volume of Cone"", ""Geometric Formulas""]",True,completed,True,2025-09-11 18:00:27.393678
bbaa9070-ffc0-4b70-a131-2e4178452d8c,Time-Speed-Distance,Basics,Arithmetic,2.00,Easy,0.5000,"{""prerequisites"": [""Basic Arithmetic"", ""Understanding of Distance""], ""cognitive_barriers"": [""Sequential Reasoning""], ""mastery_indicators"": [""Ability to perform simple arithmetic operations""]}","[""Subtraction""]",Sequential Reduction,Sequential Calculation,"[""Distance"", ""Subtraction"", ""Linear Relationships""]",True,completed,True,2025-09-11 17:51:11.435475
